gbifID,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified
2365686427,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001101,,,
2365686418,9512479,9512479,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001596,,,
2365686416,9512479,9512479,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001635,,,
2365686414,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001031,,,
2365686412,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001036,,,
2365686409,7236626,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000595,,,
2365686408,2308741,2308741,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001568,,,
2365686407,2316376,2316376,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000622,,,
2365686406,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001090,,,
2365686405,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001083,,,
2365686403,0,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001137,,,
2365686397,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001045,,,
2365686396,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001001,,,
2365686394,9512479,9512479,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001595,,,
2365686393,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001056,,,
2365686392,2316247,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000619,,,
2365686391,11003839,11003839,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001629,,,
2365686390,9512479,9512479,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001593,,,
2365686389,2308741,2308741,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001569,,,
2365686388,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001009,,,
2365686387,9546247,9546247,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001609,,,
2365686386,2316674,2316674,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000724,,,
2365686385,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001034,,,
2365686384,2318007,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000603,,,
2365686382,2316367,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000628,,,
2365686381,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001104,,,
2365686380,2308741,2308741,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001567,,,
2365686379,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001005,,,
2365686377,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001097,,,
2365686376,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001113,,,
2365686375,2316674,2316674,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000713,,,
2365686373,2316376,2316376,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000624,,,
2365686370,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001114,,,
2365686369,0,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001140,,,
2365686367,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001078,,,
2365686366,9512479,9512479,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001644,,,
2365686364,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001061,,,
2365686362,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001093,,,
2365686360,2308741,2308741,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001561,,,
2365686359,2308741,2308741,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001562,,,
2365686358,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001059,,,
2365686356,9512479,9512479,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001597,,,
2365686355,2317033,2317033,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000650,,,
2365686354,2316376,2316376,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000623,,,
2365686353,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001110,,,
2365686347,2317033,2317033,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000648,,,
2365686346,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001012,,,
2365686343,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001050,,,
2365686340,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001054,,,
2365686339,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001109,,,
2365686338,9546247,9546247,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001611,,,
2365686337,2308741,2308741,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001652,,,
2365686336,2308741,2308741,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001649,,,
2365686332,9308346,9308346,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001605,,,
2365686331,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001021,,,
2365686330,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001084,,,
2365686328,2316659,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000717,,,
2365686325,2318007,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000599,,,
2365686324,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001107,,,
2365686320,2308741,2308741,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001647,,,
2365686318,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001051,,,
2365686317,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001088,,,
2365686316,2308741,2308741,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001570,,,
2365686311,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001065,,,
2365686308,2316674,2316674,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000719,,,
2365686307,2318072,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000594,,,
2365686304,2316674,2316674,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000714,,,
2365686303,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001053,,,
2365686200,2316659,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000702,,,
2365686199,2311081,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001135,,,
2365686198,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001085,,,
2365686193,2317033,2317033,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000651,,,
2365686192,2308741,2308741,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001566,,,
2365686191,2308741,2308741,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001571,,,
2365686190,2316674,2316674,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000725,,,
2365686189,9372448,9372448,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001661,,,
2365686187,4410234,4410235,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001615,,,
2365686184,9512479,9512479,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001637,,,
2365686180,2308741,2308741,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001651,,,
2365686177,11003839,11003839,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001624,,,
2365686175,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001092,,,
2365686174,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001004,,,
2365686173,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001008,,,
2365686171,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001116,,,
2365686165,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001074,,,
2365686160,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001094,,,
2365686158,2316659,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000723,,,
2365686157,11003839,11003839,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001622,,,
2365686154,2308741,2308741,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001653,,,
2365686151,2318072,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000607,,,
2365686149,4410238,4410238,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001630,,,
2365686148,4410238,4410238,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001617,,,
2365686145,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001133,,,
2365686144,2316376,2316376,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000616,,,
2365686139,2308741,2308741,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001655,,,
2365686135,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001115,,,
2365686133,2316376,2316376,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000618,,,
2365686132,2316659,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000706,,,
2365686129,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001030,,,
2365686128,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001049,,,
2365686125,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001022,,,
2365686124,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001043,,,
2365686123,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001035,,,
2365686117,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001112,,,
2365686116,2308741,2308741,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001654,,,
2365686115,2318007,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000600,,,
2365686113,2318007,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000589,,,
2365686111,4410238,4410238,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001631,,,
2365686110,11003839,11003839,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001623,,,
2365686106,2316376,2316376,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000625,,,
2365686105,2308740,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 001033,,,
2365686103,2318007,,PRESERVED_SPECIMEN,MPEG,ANL,MPEG.ANL 000588,,,
