gbifID,eventDate,day,month,year
2365686427,2017-08-30,30,8,2017
2365686418,2018-08-15,15,8,2018
2365686416,2019-02-12,12,2,2019
2365686414,2017-08-30,30,8,2017
2365686412,2017-08-30,30,8,2017
2365686409,2008-11-01,,11,2008
2365686408,2017-04-15,15,4,2017
2365686407,2008-11-01,,11,2008
2365686406,2017-08-30,30,8,2017
2365686405,2017-08-30,30,8,2017
2365686403,2016-09-05,5,9,2016
2365686397,2017-08-30,30,8,2017
2365686396,2017-08-30,30,8,2017
2365686394,2018-08-15,15,8,2018
2365686393,2017-08-30,30,8,2017
2365686392,2008-11-01,,11,2008
2365686391,2019-02-12,12,2,2019
2365686390,2018-08-15,15,8,2018
2365686389,2017-04-15,15,4,2017
2365686388,2017-08-30,30,8,2017
2365686387,2018-08-15,15,8,2018
2365686386,2008-11-01,,11,2008
2365686385,2017-08-30,30,8,2017
2365686384,2008-11-01,,11,2008
2365686382,2008-11-01,,11,2008
2365686381,2017-08-30,30,8,2017
2365686380,2017-04-15,15,4,2017
2365686379,2017-08-30,30,8,2017
2365686377,2017-08-30,30,8,2017
2365686376,2017-08-30,30,8,2017
2365686375,2008-11-01,,11,2008
2365686373,2008-11-01,,11,2008
2365686370,2017-08-30,30,8,2017
2365686369,2015-12-06,6,12,2015
2365686367,2017-08-30,30,8,2017
2365686366,2019-02-12,12,2,2019
2365686364,2017-08-30,30,8,2017
2365686362,2017-08-30,30,8,2017
2365686360,2017-06-04,4,6,2017
2365686359,2011-07-15,15,7,2011
2365686358,2017-08-30,30,8,2017
2365686356,2018-08-15,15,8,2018
2365686355,2005-01-01,,1,2005
2365686354,2008-11-01,,11,2008
2365686353,2017-08-30,30,8,2017
2365686347,2005-01-01,,1,2005
2365686346,2017-08-30,30,8,2017
2365686343,2017-08-30,30,8,2017
2365686340,2017-08-30,30,8,2017
2365686339,2017-08-30,30,8,2017
2365686338,2018-08-15,15,8,2018
2365686337,2019-02-12,12,2,2019
2365686336,2019-02-12,12,2,2019
2365686332,2018-08-15,15,8,2018
2365686331,2017-08-30,30,8,2017
2365686330,2017-08-30,30,8,2017
2365686328,2008-11-01,,11,2008
2365686325,2008-11-01,,11,2008
2365686324,2017-08-30,30,8,2017
2365686320,2019-02-12,12,2,2019
2365686318,2017-08-30,30,8,2017
2365686317,2017-08-30,30,8,2017
2365686316,2017-04-15,15,4,2017
2365686311,2017-08-30,30,8,2017
2365686308,2008-11-01,,11,2008
2365686307,2009-04-01,,4,2009
2365686304,2008-11-01,,11,2008
2365686303,2017-08-30,30,8,2017
2365686200,2008-11-01,,11,2008
2365686199,2016-06-25,25,6,2016
2365686198,2017-08-30,30,8,2017
2365686193,2005-01-01,,1,2005
2365686192,2017-04-15,15,4,2017
2365686191,2017-04-15,15,4,2017
2365686190,2008-11-01,,11,2008
2365686189,2019-02-12,12,2,2019
2365686187,2017-04-15,15,4,2017
2365686184,2019-02-12,12,2,2019
2365686180,2019-02-12,12,2,2019
2365686177,2019-02-12,12,2,2019
2365686175,2017-08-30,30,8,2017
2365686174,2017-08-30,30,8,2017
2365686173,2017-08-30,30,8,2017
2365686171,2017-08-30,30,8,2017
2365686165,2017-08-30,30,8,2017
2365686160,2017-08-30,30,8,2017
2365686158,2008-11-01,,11,2008
