gbifID,countryCode,locality,stateProvince,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision
2365686427,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686418,BR,Fazenda Escola,Maranhão,-4587222.0,-44208611.0,,
2365686416,BR,Santa Tereza Village,Maranhão,-4899722.0,-43470833.0,,
2365686414,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686412,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686409,BR,Ilha de Canela,Pará,,,,
2365686408,BR,Rosário,Maranhão,-2853972.0,-44153167.0,,
2365686407,BR,Península Bragantina,Pará,,,,
2365686406,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686405,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686403,BR,Plataforma Continental do Amazonas,Pará,37817.0,-49840417.0,,
2365686397,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686396,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686394,BR,Fazenda Escola,Maranhão,-4587222.0,-44208611.0,,
2365686393,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686392,BR,Ilha de Canela,Pará,,,,
2365686391,BR,Santa Tereza Village,Maranhão,-4558333.0,-43470833.0,,
2365686390,BR,Fazenda Escola,Maranhão,-4587222.0,-44208611.0,,
2365686389,BR,Rosário,Maranhão,-2853972.0,-44153167.0,,
2365686388,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686387,BR,Fazenda Escola,Maranhão,-4587222.0,-44208611.0,,
2365686386,BR,Península Bragantina,Pará,,,,
2365686385,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686384,BR,Ilha de Canela,Pará,,,,
2365686382,BR,Península Bragantina,Pará,,,,
2365686381,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686380,BR,Rio Grande,Maranhão,-242375.0,-44425444.0,,
2365686379,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686377,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686376,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686375,BR,Península Bragantina,Pará,,,,
2365686373,BR,Ilha de Algodoal,Pará,,,,
2365686370,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686369,BR,Plataforma Continental do Amazonas,Pará,3938833.0,-50653333.0,,
2365686367,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686366,BR,Santa Tereza Village,Maranhão,-4558333.0,-43470833.0,,
2365686364,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686362,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686360,BR,Fazenda Escola,Maranhão,-4587222.0,-44208611.0,,
2365686359,BR,Tomé-Açu,Maranhão,-2394167.0,-48164444.0,,
2365686358,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686356,BR,Fazenda Escola,Maranhão,-4587222.0,-44208611.0,,
2365686355,BR,Curuça,Pará,,,,
2365686354,BR,Ilha de Algodoal,Pará,,,,
2365686353,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686347,BR,Curuça,Pará,,,,
2365686346,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686343,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686340,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686339,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686338,BR,Fazenda Escola,Maranhão,-4587222.0,-44208611.0,,
2365686337,BR,Maranhão Federal Institute,Maranhão,-4820833.0,-43342222.0,,
2365686336,BR,Inhamum Protection Area,Maranhão,-4890833.0,-43420278.0,,
2365686332,BR,Fazenda Escola,Maranhão,-4587222.0,-44208611.0,,
2365686331,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686330,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686328,BR,Praia de Marudá,Pará,,,,
2365686325,BR,Ilha de Canela,Pará,,,,
2365686324,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686320,BR,Inhamum Protection Area,Maranhão,-48625.0,-43363889.0,,
2365686318,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686317,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686316,BR,Rosário,Maranhão,-2853972.0,-44153167.0,,
2365686311,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686308,BR,Península Bragantina,Pará,,,,
2365686307,BR,Furo Grande,Pará,,,,
2365686304,BR,Praia de Marudá,Pará,,,,
2365686303,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686200,BR,Ilha de Canela,Pará,,,,
2365686199,BR,Plataforma Continental do Amazonas,Pará,3135833.0,-48449.0,,
2365686198,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686193,BR,Curuça,Pará,,,,
2365686192,BR,Rio Grande,Maranhão,-242375.0,-44425444.0,,
2365686191,BR,Rosário,Maranhão,-2853972.0,-44153167.0,,
2365686190,BR,Ilha de Canela,Pará,,,,
2365686189,BR,Maranhão Federal Institute,Maranhão,-4904167.0,-43472222.0,,
2365686187,BR,Reserva Biológica Gurupi,Maranhão,-40428.0,-46906058.0,,
2365686184,BR,Santa Tereza Village,Maranhão,-4891111.0,-43425833.0,,
2365686180,BR,Maranhão Federal Institute,Maranhão,-4821667.0,-43342222.0,,
2365686177,BR,Santa Tereza Village,Maranhão,-4891111.0,-43425833.0,,
2365686175,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686174,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686173,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686171,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686165,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686160,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686158,BR,Praia de Ajuruteua,Pará,,,,
2365686157,BR,Santa Tereza Village,Maranhão,-4899722.0,-43470833.0,,
2365686154,BR,Maranhão Federal Institute,Maranhão,-4821111.0,-43340833.0,,
2365686151,BR,Península Bragantina,Pará,,,,
2365686149,BR,Maranhão Federal Institute,Maranhão,-4904167.0,-43472222.0,,
2365686148,BR,Reserva Biológica Gurupi,Maranhão,-40428.0,-46906058.0,,
2365686145,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686144,BR,Península Bragantina,Pará,,,,
2365686139,BR,Santa Tereza Village,Maranhão,-4904167.0,-43472222.0,,
2365686135,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686133,BR,Ilha de Canela,Pará,,,,
2365686132,BR,Ilha de Algodoal,Pará,,,,
2365686129,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686128,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686125,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686124,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686123,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686117,BR,Mocambo,Pará,1440694.0,-4841125.0,,
2365686116,BR,Maranhão Federal Institute,Maranhão,-4818611.0,-43343056.0,,
2365686115,BR,Península Bragantina,Pará,,,,
2365686113,BR,Ilha de Algodoal,Pará,,,,
2365686111,BR,Maranhão Federal Institute,Maranhão,-4904167.0,-43472222.0,,
2365686110,BR,Santa Tereza Village,Maranhão,-4891111.0,-43425833.0,,
2365686106,BR,Península Bragantina,Pará,,,,
