gbifID,datasetKey,occurrenceID,license,rightsHolder,typeStatus,establishmentMeans,lastInterpreted,mediaType
2365686427,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001101,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.952,
2365686418,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001596,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.949,
2365686416,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001635,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.937,
2365686414,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001031,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.946,
2365686412,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001036,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.946,
2365686409,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 000595,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.943,
2365686408,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001568,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.953,
2365686407,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 000622,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.949,
2365686406,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001090,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.947,
2365686405,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001083,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.945,
2365686403,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001137,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.936,
2365686397,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001045,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.946,
2365686396,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001001,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.941,
2365686394,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001595,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.949,
2365686393,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001056,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.945,
2365686392,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 000619,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.948,
2365686391,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001629,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),PARATYPE,,2023-09-07 06:19:05.939,
2365686390,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001593,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.949,
2365686389,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001569,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.953,
2365686388,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001009,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.940,
2365686387,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001609,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.939,
2365686386,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 000724,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.939,
2365686385,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001034,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.946,
2365686384,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 000603,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.949,
2365686382,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 000628,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.949,
2365686381,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001104,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.952,
2365686380,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001567,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.953,
2365686379,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001005,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.940,
2365686377,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001097,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.947,
2365686376,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001113,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.949,
2365686375,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 000713,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.937,
2365686373,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 000624,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.949,
2365686370,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001114,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.949,
2365686369,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001140,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.936,
2365686367,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001078,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.945,
2365686366,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001644,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.938,
2365686364,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001061,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.946,
2365686362,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001093,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.947,
2365686360,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001561,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.953,
2365686359,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001562,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.953,
2365686358,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001059,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.945,
2365686356,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001597,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.949,
2365686355,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 000650,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.948,
2365686354,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 000623,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.949,
2365686353,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001110,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.949,
2365686347,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 000648,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.948,
2365686346,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001012,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.947,
2365686343,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001050,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.945,
2365686340,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001054,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.945,
2365686339,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001109,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.952,
2365686338,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001611,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.938,
2365686337,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001652,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.942,
2365686336,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001649,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.938,
2365686332,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001605,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.939,
2365686331,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001021,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.947,
2365686330,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001084,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.945,
2365686328,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 000717,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.937,
2365686325,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 000599,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.942,
2365686324,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001107,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.952,
2365686320,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001647,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.938,
2365686318,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001051,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.945,
2365686317,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001088,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.945,
2365686316,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001570,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.951,
2365686311,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001065,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.946,
2365686308,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 000719,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.937,
2365686307,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 000594,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.943,
2365686304,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 000714,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.937,
2365686303,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001053,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.945,
2365686200,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 000702,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.937,
2365686199,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001135,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.936,
2365686198,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001085,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.945,
2365686193,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 000651,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.948,
2365686192,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001566,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.953,
2365686191,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001571,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.951,
2365686190,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 000725,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.939,
2365686189,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001661,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.943,
2365686187,9c48ee0b-404a-4c84-9af0-946eef39ddca,MPEG.ANL 001615,CC_BY_NC_4_0,Museu Paraense Emílio Goeldi (MPEG),,,2023-09-07 06:19:05.938,
